"baseMean";"log2FoldChange";"lfcSE";"stat";"pvalue";"padj";"symbol";"entrez"
"ENSG00000197520";73.5224624486646;3.95295495033766;0.698830733362488;5.65652705529658;1.54466638975033e-08;1.38270510638751e-05;"FAM177B";"400823"
"ENSG00000196187";5156.8073930587;0.60156955682622;0.185942837679036;3.23523919681498;0.00121540863964135;0.0295684613851947;"TMEM63A";"9725"
"ENSG00000185155";14.363154832288;2.45550143860091;0.639590021773254;3.83918034210895;0.000123445734656345;0.00565927355411977;"MIXL1";"83881"
"ENSG00000143772";2840.16055923507;0.692532971199754;0.20595041456646;3.36261994256037;0.000772065777778733;0.02158393081923;"ITPKB";"3707"
"ENSG00000143643";1305.30661261049;0.597310567160986;0.167244894733534;3.57147264861306;0.00035497962433563;0.0123606073008166;"TTC13";"79573"
"ENSG00000231940";11.9735264977258;1.42877037800375;0.423674186546917;3.37233285239467;0.000745343119289249;0.0209869298681352;NA;NA
"ENSG00000233355";193.732006256913;2.21998990191333;0.690487376044424;3.21510570494558;0.00130396495964759;0.0310062701829668;"CHRM3-AS2";"100506915"
"ENSG00000117009";46.2807203899919;1.53572085616735;0.431819481141795;3.55639549217806;0.000375977945861744;0.0128949127823184;"KMO";"8564"
"ENSG00000227671";2767.79395399282;0.630910078035133;0.208644864314817;3.023846669349;0.00249582897741679;0.0491214686627965;NA;NA
"ENSG00000162711";126.621290152688;1.24952689043069;0.364074313959549;3.43206549465481;0.000599002880659533;0.0179759976324241;"NLRP3";"114548"
"ENSG00000228613";453.533019309798;-2.7145881659237;0.671780610651156;-4.04088495988661;5.32498767389593e-05;0.00308346102538181;NA;NA
"ENSG00000235576";29.3704941000371;1.98186711114153;0.539739524830374;3.67189546061941;0.000240758169747724;0.00934310147190297;NA;NA
"ENSG00000236790";15.8960434118315;1.22906914926545;0.378805504774736;3.24459157476167;0.00117619191437267;0.0290796716390836;"LINC00299";"339789"
"ENSG00000151693";1580.35663574293;-0.503131977523595;0.145180990677917;-3.46554996748708;0.000529148189473479;0.0164011968263869;"ASAP2";"8853"
"ENSG00000171848";109.07565182182;1.94576023008694;0.603871039476451;3.22214529740306;0.00127234595120947;0.0306112081227464;"RRM2";"6241"
"ENSG00000071575";3677.16936382585;0.507186669457622;0.166229884225806;3.05111606026666;0.00227992427267209;0.0463180439326502;"TRIB2";"28951"
"ENSG00000197872";4059.65218150679;-0.490803206561983;0.140497761099769;-3.49331692348791;0.000477059969810158;0.0151998304001562;"FAM49A";"81553"
"ENSG00000228784";158.48508262011;1.53697701008356;0.348385870624273;4.41170879671282;1.0255798766006e-05;0.0010060992450066;"LINC00954";"400946"
"ENSG00000143869";30.6225626467296;2.26561537079129;0.576489490751823;3.93002024692004;8.49387089710867e-05;0.00435265243096005;"GDF7";"151449"
"ENSG00000224220";4.28470624572535;3.17244615993914;0.872173629355408;3.6374020644075;0.000275401855677951;0.0102411323207199;NA;NA
"ENSG00000214711";28.5074876829414;1.52327084952707;0.388076494484521;3.92518194525133;8.6664208475698e-05;0.00441587409297203;"CAPN14";"440854"
"ENSG00000170577";63.6560609660656;-1.11836727931098;0.329587294943713;-3.39323540824585;0.000690722511847962;0.0199203207868987;"SIX2";"10736"
"ENSG00000225889";222.698132314267;1.45501713403034;0.364123758175656;3.99594121877768;6.44377224988552e-05;0.00358454477046985;NA;NA
"ENSG00000260101";17.9075125450891;1.81450282327789;0.508980065123017;3.56497817422248;0.00036388646836243;0.0126043742442096;"LOC101927402";"101927402"
"ENSG00000234572";6.15241858947724;3.28678851174026;0.929417389951693;3.53639661499243;0.000405625228958925;0.0135219937775601;"LINC01800";"101927438"
"ENSG00000232613";11.2617723717331;3.99426518154213;0.960684207996137;4.15772961426487;3.21426140897423e-05;0.00217212643215347;NA;NA
"ENSG00000115956";790.327000467288;1.56499689306126;0.392572870392396;3.98651310646344;6.7051425493323e-05;0.00366574520105942;"PLEK";"5341"
"ENSG00000163219";1034.12703546831;1.45698977501749;0.297985567066581;4.88946424271598;1.01110786450639e-06;0.00021286931648981;"ARHGAP25";"9938"
"ENSG00000226505";5.01548181002304;1.95164436181473;0.504835686517156;3.86590016105846;0.000110680211584676;0.0052345992441386;NA;NA
"ENSG00000124370";521.528779183751;0.478074263091666;0.137006744125752;3.48942138682505;0.000484067414878842;0.01531611685297;"MCEE";"84693"
